Abras_virus,"[{'NC_077940.1': 4777}, {'NC_077941.1': 6901}, {'NC_077942.1': 1073}]"
Abu_Hammad_virus,"[{'NC_078146.1': 12117}, {'NC_078147.1': 1777}, {'NC_078148.1': 4702}]"
Abu_Mina_virus,"[{'NC_078149.1': 4441}, {'NC_078150.1': 12215}, {'NC_078151.1': 1760}]"
Abutilon_Brazil_virus,"[{'NC_014138.1': 2653}, {'NC_014139.1': 2618}]"
Abutilon_golden_mosaic_Yucatan_virus,[{'NC_038438.1': 2629}]
Acara_virus,"[{'NC_078977.1': 6901}, {'NC_078978.1': 4574}, {'NC_078979.1': 1036}]"
Actinidia_chlorotic_ringspot-associated_virus,"[{'NC_038769.1': 7061}, {'NC_038770.1': 2267}, {'NC_038771.1': 1664}, {'NC_038772.1': 1678}, {'NC_038773.1': 1476}]"
Actinovirus_bernense,"[{'NC_055638.1': 3804}, {'NC_055639.1': 2435}, {'NC_055640.1': 6372}]"
Adana_virus,"[{'NC_029127.1': 6405}, {'NC_029128.1': 4229}, {'NC_029129.1': 1755}]"
Aedes_camptorhynchus_reo-like_virus,"[{'NC_035216.1': 4052}, {'NC_035217.1': 2555}, {'NC_035222.1': 4242}, {'NC_035223.1': 3160}]"
Aeonium_ringspot_virus,"[{'NC_038761.1': 4010}, {'NC_038762.1': 7549}]"
Aeropyrum_pernix_bacilliform_virus_1,[{'NC_043030.1': 5278}]
African_cassava_mosaic_Burkina_Faso_virus,"[{'NC_055127.1': 2737}, {'NC_055128.1': 2770}]"
Ageratum_latent_virus_1998,"[{'NC_022127.1': 3481}, {'NC_022128.1': 2872}, {'NC_022129.1': 2224}]"
Ageratum_yellow_vein_China_alphasatellite,[{'NC_023443.1': 1365}]
Ageratum_yellow_vein_China_virus_-_[Hn2],[{'NC_004090.1': 2768}]
Ageratum_yellow_vein_Hualian_virus,"[{'NC_010812.1': 2756}, {'NC_038913.1': 2753}]"
Ageratum_yellow_vein_Sri_Lanka_virus,[{'NC_002981.1': 2748}]
Ageratum_yellow_vein_virus,"[{'NC_004090.1': 2768}, {'NC_004626.1': 2741}, {'NC_027040.1': 2750}]"
Aguacate_virus,"[{'NC_015450.1': 4185}, {'NC_015451.1': 6393}, {'NC_015452.1': 1830}]"
Aino_virus,"[{'NC_018459.1': 4335}, {'NC_018460.1': 834}, {'NC_018465.1': 6966}]"
Akabane_virus,"[{'NC_009894.1': 6868}, {'NC_009895.1': 4309}, {'NC_009896.1': 858}]"
